time,violation
2025-06-04 08:06:54,No Helmet
2025-06-04 08:06:54,No Helmet
2025-06-04 08:06:54,No Helmet
2025-06-04 08:06:54,No Helmet
2025-06-04 08:06:54,No Helmet
2025-06-04 08:06:59,No Helmet
2025-06-04 08:07:00,No Helmet
2025-06-04 08:07:01,No Helmet
2025-06-04 08:07:01,No Helmet
2025-06-04 08:07:01,No Helmet
2025-06-04 08:07:08,No Helmet
2025-06-04 08:07:14,No Helmet
2025-06-04 08:40:24,No Helmet
2025-06-04 08:40:24,No Helmet
2025-06-04 08:40:25,No Helmet
2025-06-04 08:40:25,No Helmet
2025-06-04 08:40:26,No Helmet
2025-06-04 08:40:26,No Helmet
2025-06-04 08:40:26,No Helmet
2025-06-04 08:40:26,No Helmet
2025-06-04 08:40:26,No Helmet
2025-06-04 08:40:26,No Helmet
2025-06-04 08:40:26,No Helmet
2025-06-04 08:40:26,No Helmet
2025-06-04 08:40:26,No Helmet
2025-06-04 08:40:27,No Helmet
2025-06-04 08:40:32,No Helmet
2025-06-04 08:40:33,No Helmet
2025-06-04 08:40:33,No Helmet
2025-06-04 08:40:33,No Helmet
2025-06-04 08:40:34,No Helmet
2025-06-04 08:40:42,No Helmet
2025-06-04 08:40:48,No Helmet
2025-06-04 08:51:22,No Helmet,20250604_085122_619718.jpg
2025-06-04 08:51:22,No Helmet,20250604_085122_802747.jpg
2025-06-04 08:51:23,No Helmet,20250604_085123_636062.jpg
2025-06-04 08:51:23,No Helmet,20250604_085123_736312.jpg
2025-06-04 08:51:23,No Helmet,20250604_085123_940813.jpg
2025-06-04 08:51:24,No Helmet,20250604_085124_039286.jpg
2025-06-04 08:51:24,No Helmet,20250604_085124_121319.jpg
2025-06-04 08:51:24,No Helmet,20250604_085124_121319.jpg
2025-06-04 08:51:24,No Helmet,20250604_085124_284298.jpg
2025-06-04 08:51:24,No Helmet,20250604_085124_284298.jpg
2025-06-04 08:51:24,No Helmet,20250604_085124_379388.jpg
2025-06-04 08:51:24,No Helmet,20250604_085124_467763.jpg
2025-06-04 08:51:24,No Helmet,20250604_085124_675775.jpg
2025-06-04 08:51:24,No Helmet,20250604_085124_781776.jpg
2025-06-04 08:51:28,No Helmet,20250604_085128_824475.jpg
2025-06-04 08:51:30,No Helmet,20250604_085130_000779.jpg
2025-06-04 08:51:30,No Helmet,20250604_085130_193178.jpg
2025-06-04 08:51:30,No Helmet,20250604_085130_288947.jpg
2025-06-04 08:51:30,No Helmet,20250604_085130_878355.jpg
2025-06-04 08:51:37,No Helmet,20250604_085137_101787.jpg
2025-06-04 08:51:42,No Helmet,20250604_085142_319966.jpg
2025-06-04 08:55:30,No Helmet,20250604_085530_549915.jpg
2025-06-04 08:55:30,No Helmet,20250604_085530_737822.jpg
2025-06-04 08:55:31,No Helmet,20250604_085531_500549.jpg
2025-06-04 08:55:31,No Helmet,20250604_085531_601264.jpg
2025-06-04 08:55:31,No Helmet,20250604_085531_827325.jpg
2025-06-04 08:55:31,No Helmet,20250604_085531_931054.jpg
2025-06-04 08:55:32,No Helmet,20250604_085532_008008.jpg
2025-06-04 08:55:32,No Helmet,20250604_085532_008008.jpg
2025-06-04 08:55:32,No Helmet,20250604_085532_122611.jpg
2025-06-04 08:55:32,No Helmet,20250604_085532_122611.jpg
2025-06-04 08:55:32,No Helmet,20250604_085532_220529.jpg
2025-06-04 08:55:32,No Helmet,20250604_085532_314261.jpg
2025-06-04 08:55:32,No Helmet,20250604_085532_543268.jpg
2025-06-04 08:55:32,No Helmet,20250604_085532_617873.jpg
2025-06-04 08:55:36,No Helmet,20250604_085536_733693.jpg
2025-06-04 08:55:37,No Helmet,20250604_085537_883687.jpg
2025-06-04 08:55:37,No Helmet,20250604_085537_982053.jpg
2025-06-04 08:55:38,No Helmet,20250604_085538_072691.jpg
2025-06-04 08:55:38,No Helmet,20250604_085538_729689.jpg
2025-06-04 08:55:45,No Helmet,20250604_085545_291638.jpg
2025-06-04 08:55:50,No Helmet,20250604_085550_390814.jpg
2025-06-04 09:07:52,No Helmet,20250604_090752_871096.jpg
2025-06-04 09:07:52,No Helmet,20250604_090752_871096.jpg
2025-06-04 09:07:52,No Helmet,20250604_090752_871096.jpg
2025-06-04 09:09:33,No Helmet,20250604_090933_223190.jpg
2025-06-04 11:02:05,With Helmet,
2025-06-04 11:02:05,With Helmet,
2025-06-04 11:02:05,With Helmet,
2025-06-04 11:02:05,With Helmet,
2025-06-04 11:02:06,With Helmet,
2025-06-04 11:02:06,With Helmet,
2025-06-04 11:02:06,With Helmet,
2025-06-04 11:02:06,With Helmet,
2025-06-04 11:02:06,With Helmet,
2025-06-04 11:02:06,With Helmet,
2025-06-04 11:02:06,With Helmet,
2025-06-04 11:02:06,With Helmet,
2025-06-04 11:02:06,With Helmet,
2025-06-04 11:02:06,With Helmet,
2025-06-04 11:02:06,With Helmet,
2025-06-04 11:02:06,With Helmet,
2025-06-04 11:02:06,With Helmet,
2025-06-04 11:02:06,With Helmet,
2025-06-04 11:02:06,With Helmet,
2025-06-04 11:02:06,With Helmet,
2025-06-04 11:02:06,With Helmet,
2025-06-04 11:02:06,With Helmet,
2025-06-04 11:02:06,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:07,With Helmet,
2025-06-04 11:02:08,With Helmet,
2025-06-04 11:02:08,With Helmet,
2025-06-04 11:02:08,With Helmet,
2025-06-04 11:02:08,With Helmet,
2025-06-04 11:02:08,With Helmet,
2025-06-04 11:02:08,With Helmet,
2025-06-04 11:02:08,No Helmet,20250604_110208_296813.jpg
2025-06-04 11:02:08,With Helmet,
2025-06-04 11:02:08,With Helmet,
2025-06-04 11:02:08,With Helmet,
2025-06-04 11:02:08,With Helmet,
2025-06-04 11:02:08,With Helmet,
2025-06-04 11:02:08,With Helmet,
2025-06-04 11:02:08,With Helmet,
2025-06-04 11:02:08,With Helmet,
2025-06-04 11:02:08,No Helmet,20250604_110208_593461.jpg
2025-06-04 11:02:08,With Helmet,
2025-06-04 11:02:08,With Helmet,
2025-06-04 11:02:08,With Helmet,
2025-06-04 11:02:08,With Helmet,
2025-06-04 11:02:09,With Helmet,
2025-06-04 11:02:09,With Helmet,
2025-06-04 11:02:09,With Helmet,
2025-06-04 11:02:09,With Helmet,
2025-06-04 11:02:09,With Helmet,
2025-06-04 11:02:09,With Helmet,
2025-06-04 11:02:09,With Helmet,
2025-06-04 11:02:09,With Helmet,
2025-06-04 11:02:09,With Helmet,
2025-06-04 11:02:09,With Helmet,
2025-06-04 11:02:09,With Helmet,
2025-06-04 11:02:09,With Helmet,
2025-06-04 11:02:09,With Helmet,
2025-06-04 11:02:09,With Helmet,
2025-06-04 11:02:09,With Helmet,
2025-06-04 11:02:09,With Helmet,
2025-06-04 11:02:09,With Helmet,
2025-06-04 11:02:09,With Helmet,
2025-06-04 11:02:09,With Helmet,
2025-06-04 11:02:09,With Helmet,
2025-06-04 11:02:09,With Helmet,
2025-06-04 11:02:10,With Helmet,
2025-06-04 11:02:10,With Helmet,
2025-06-04 11:02:10,With Helmet,
2025-06-04 11:02:10,No Helmet,20250604_110210_124998.jpg
2025-06-04 11:02:10,With Helmet,
2025-06-04 11:02:10,With Helmet,
2025-06-04 11:02:10,With Helmet,
2025-06-04 11:02:10,With Helmet,
2025-06-04 11:02:10,No Helmet,20250604_110210_361166.jpg
2025-06-04 11:02:10,With Helmet,
2025-06-04 11:02:10,With Helmet,
2025-06-04 11:02:10,With Helmet,
2025-06-04 11:02:10,With Helmet,
2025-06-04 11:02:10,With Helmet,
2025-06-04 11:02:10,No Helmet,20250604_110210_703324.jpg
2025-06-04 11:02:10,With Helmet,
2025-06-04 11:02:10,With Helmet,
